Altium Designer Pick and Place Locations
C:\Users\desktop\Documents\Project Files\Altium\Projects\Project - Devlopment\USB-UART-ISO-CP2102\Project Outputs for USB-UART-ISO-CP2102\Manufacturing Data\Pick Place\Pick Place for USB-UART-ISO-CP2102-V-1.csv

========================================================================================================================
File Design Information:

Date:       06-12-24
Time:       14:40
Revision:   432
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C5I","C0603C105K8PACTU","TopLayer","C0603-IPC_C_No_Silk","46.3293","18.1693","90","Ceramic Capacitor, Multilayer, Ceramic, 10V, 10% +Tol, 10% -Tol, X5R, 15% TC, 1uF, 0603"
"C4I","C0603C104K8RACTU","TopLayer","C0603-IPC_C_No_Silk","38.9128","10.2100","270","Multilayer Ceramic Capacitor, 0.1 uF, 10 V, ± 10%, X7R, 0603 [1608 Metric]"
"C3I","CC0603KRX7R6BB102","TopLayer","C0603-IPC_C_No_Silk","40.1170","10.2100","270","Cap Ceramic 0.001uF 10V X7R 10% SMD 0603 125°C Paper T/R"
"C2U","C0603C104K8RACTU","TopLayer","C0603-IPC_C_No_Silk","18.6361","3.8059","0","Multilayer Ceramic Capacitor, 0.1 uF, 10 V, ± 10%, X7R, 0603 [1608 Metric]"
"C2L","C0603C104K8RACTU","TopLayer","C0603-IPC_C_No_Silk","10.8271","1.6444","90","Multilayer Ceramic Capacitor, 0.1 uF, 10 V, ± 10%, X7R, 0603 [1608 Metric]"
"U1U","CP2102N-QFN-28","TopLayer","QFN28_IPC_A","20.5000","9.2428","0","Single-Chip USB to UART Bridge, 1024 Bytes EEPROM, -40 to 85 degC, 28-pin QFN, Tube"
"R3L","RC0603FR-0710KL","TopLayer","R0603-MFG","18.6500","2.4570","0","SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R2L","CR0603-FX-2002ELF","TopLayer","R0603-MFG","10.8271","4.1210","90","SMD Chip Resistor, 20 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R0L","MCR03EZPFX1691","TopLayer","R0603-MFG","12.4140","6.2423","180","Surface Mount Thick Film Chip Resistor 0603 Case 1.69K Ohms 1% Tolerance 100 PPM"
"C4U","CL10A475KP8NNNC","TopLayer","C0603-IPC_C_No_Silk","24.7208","6.7830","270","Multilayer Ceramic Capacitor, 4.7 uF, 10 V, ± 10%, X5R, 0603 [1608 Metric]"
"C3U","KGM15AR70J104KM","TopLayer","C0603-IPC_C_No_Silk","16.4461","7.3042","270","Cap Cer 0.1UF 6.3V X7R 0603"
"J2C","2X09","TopLayer","PinHeader_2x09_P2.54mm_Vertical","17.4600","16.8700","90",""
"R2U","RC0603FR-0710KL","TopLayer","R0603-MFG","21.9870","3.6664","270","SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"R1U","RC0603FR-0710KL","TopLayer","R0603-MFG","20.6550","3.6736","90","SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"
"J3C","2X06","TopLayer","PinHeader_2x06_P2.54mm_Vertical","44.7300","8.8500","180",""
"R4L","MCR03EZPFX2491","TopLayer","R0603-MFG","23.2202","3.6635","90","Res Thick Film 0603 2.49K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"
"R1L","ERJ-3EKF3302V","TopLayer","R0603-MFG","12.2608","4.1210","270","Res Thick Film 0603 33K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"
"D1L","YELLOW","TopLayer","LED_0603_YELLOW","24.7208","3.8752","270","LED 0603 YELLOW SMD"
